midi_name,game_name,key_signature,harmonic_reduction
1ROLLALG.MID,sonic1,C major,"['-', 'V', 'ii', 'i', 'V43', 'I53', 'ii', 'i', 'V43', 'i', 'I', 'I', 'V43', 'I6', 'I', 'I', 'V43', 'i', 'I53']"
1romance.mid,sonic1,e minor,"['i', 'vii', 'ii', 'iv', '-VI7', 'i64', 'iv53', 'iv', 'iv', 'vii', 'ii', 'i', '-VI7', 'i', 'iv', 'i53', 'i65', 'iv', '-VII65', 'III', 'vi', 'iv', 'i', 'III', '-VI', '-VI', 'v42', 'v', 'v7', '-VI', 'iv53', '#vi42', 'ii42', 'i42', 'iv', 'ii65', 'i64', 'i', 'iv7', 'iv', 'iv', 'i42', 'iv', 'ii65', 'i64', 'ii', 'iv42', 'i', 'i', 'i6', '-VI53', 'iv', 'v53', 'III', 'iv', 'ii65', 'III42', 'III', '-VI', 'ii53', 'v7', 'iv', '-VI64', 'ii53', 'i', '#vi', 'i', 'vii', 'ii', 'i', '-VI7', 'i', 'iv53', 'iv', 'iv', 'vii', 'ii', 'i', 'vi7', 'i', 'III', 'i53', 'iv', '-VI65', 'i53', 'i64']"
1sanf.mid,sonic1,d minor,"['-', 'III42', 'v7', '#iii42', 'i43', '#vi43', 'III53', 'III53', 'v42', 'III7', 'III', 'ii', 'ii42', 'ii42', '-VII65', '#iii53', '-VII', 'i6', 'vii53', '#iii', 'i43', '#vi42', '#vi53', '-II65', '#vii', '#vi53', 'IV42', '#vii65', 'v', 'V7', 'III65', '#vi42', 'v7', 'i53', 'v42', 'I43', 'III6', 'III65', 'III6', 'III', 'v42', 'i53', 'III6', '#iii42', 'ii7', 'ii7', '-VII6', '#iii65', 'v7', 'III', 'v65', '#iii42', 'III65', '#vi42', '#vi42', '-II65', 'I65', '#vi53', 'iii', 'IV42', 'v7', 'V42', 'i43', 'IV', 'v42', 'i53', 'v65', '#iii42', 'III65', 'IV7', 'III6', 'i53', 'v43', 'III7', 'III', '#iii7', 'ii7', 'ii53', 'v7', '#iii53', '#vii64', 'III7', '-II65', '#iii42', 'III6', 'IV7', '#vi53', 'v42', 'II65', '#vi6', 'IV42', '#iii', 'v7', 'v7', 'III6', '#vi42', 'v42', 'III', 'ii65', 'ii65']"
1sanfran.mid,sonic1,C major,"['-', 'V7', 'I53', '#iv7', 'ii53', 'V65', 'ii7', 'V7', 'iii65', 'iii6', 'i', 'vi42', 'iii53', 'iii53', 'vi53', 'vii65', 'v7', 'V7', 'I53', 'vi7', 'ii', 'ii53', 'V', 'V64', 'III6', 'III6', 'iv43', '#i', 'II53', 'II53', 'IV53', 'V6', 'I64', 'v7', 'I53', 'vi6', 'ii53', 'V', 'ii7', 'V', 'I53', 'iv', 'iii', 'vi6', 'iii7', 'iii53', 'I', 'vii', 'i', 'vii', 'I', 'i', 'IV53', 'V', 'V6', 'V53', 'iii', 'III6', 'IV42', '#i', 'ii', 'ii', 'ii53', 'iii6', 'i', 'ii7', 'I6', 'i']"
1shaboomshaboom.mid,sonic1,C major,"['ii7', 'I6', 'v7', 'vi53', 'v7', 'I', 'v7', 'i', 'vi53', 'vi53', '#iv53', 'vi53', 'ii', 'I', 'V42', 'vi53', 'ii', 'vi53', 'v7', 'vi53', 'V7', 'vi64', 'ii65', 'IV7', '#v', 'I43', '#i', '#i7', '#iv64', 'II65', 'ii7', 'V64', 'vi53', 'II65', 'vi53', 'vii64', 'I', 'V7', 'vi53', 'I6', 'v7', 'vi53', 'v7', 'I', 'v7', 'i', 'I6', 'v7', 'vi53', 'v7', 'I', 'v7', 'i', 'vi53', 'I6', 'v7', 'vi53', 'v7', 'I', 'v7', 'i']"
1silove.MID,sonic1,d minor,"['iv7', 'iv7', 'iv7', 'iv7', '-VI64', 'ii7', 'v64', 'v6', '-VI64', '#iv7', 'v7', 'v53', 'iii', '#iv', 'iv53', '-II53', 'ii', 'III', '#iii6', 'I7', 'iv53', '-VII7', 'III7', '#iii7', 'iv7', '#iv7', 'v7', 'v53', 'iii7', '-ii', 'ii', '-II', 'ii53', 'III6', 'I7', 'IV53', '-VII', 'vii6', 'i6', '-VI7', '#iv65', 'vi', 'ii65', 'v42', '#vi6', 'III', 'v', '#iii42', 'iv7', '-VII7', 'v64', '-VII53', 'iv7', '#iv64', 'v7', 'v7', '-vii', '#iv', '-II7', '-II7', 'ii7', 'III6', 'V', 'I7', 'iv53', '-VII7', 'III7', '-VII', 'iv7', '#iv7', 'v7', 'v7', '-vii', '-ii', '-II7', 'vii', 'ii53', 'III6', 'I7', 'ii65', '-VII7', 'v6', '-VI7', '-VI7', '#iv65', '#iv65', 'v7', '-vii', '#vi6', 'ii', 'i43', 'iii42', '-VI43', 'II', 'ii7', '#vii65', 'iv7', '#iv7', 'v7', 'ii42', '-vii', '-vii', '-II', 'iv7', 'ii7', 'III65', '#iii7', '-vi', 'iv42', '-VII7', 'ii7', '#vii65', '-VI6', '#vi6', '#iv', '-VII42', '-vii', 'vii', 'iv7', '-II42', 'ii7', 'III65', '#iii7', 'III7', 'ii7', 'ii7', 'iii', 'iv65', '#iv65', '#iv65', 'v7', '-ii65', 'III7', 'v42', 'III7', '-vi', '-VI64', 'ii65', 'v64', '#iii53', 'i', '#iv', 'v64', 'v53', 'iii', 'vii42', '-II7', '-II', 'ii53', 'v', 'i7', 'I7', 'iv', 'i42', 'III7', '-VII', 'iv', '#iv', 'v7', 'v43', 'iii7', '-ii', 'ii7', '-II', 'ii53', 'v', 'I7', 'iv7', 'ii', 'iii', 'i', '-VI7', '#vi', 'vi', '-VII', 'i7', 'i', 'III', 'i', 'v', '-VI6', 'ii65', 'III7', '-VII53', '-VI6', '#iv64', 'v7']"
1sleigh.mid,sonic1,A major,"['ii7', 'IV', 'ii42', 'IV', 'IV', 'ii7', 'ii42', 'IV64', 'I', 'I', 'ii42', 'ii42', 'I7', 'ii7', 'ii42', 'iv', 'I', 'I', 'ii42', 'iv', 'ii65', 'vii7', 'vi', '-ii', 'iii7', 'vii7', 'vii', '-ii', 'I42', 'vi7', 'v', '-v', 'iii42', 'iv', 'ii65', 'IV', 'IV53', 'ii7', 'ii42', 'IV64', 'I', 'I', 'ii42', 'ii42', 'I7', 'ii7', 'ii42', 'IV64', 'I', 'I', 'ii42', 'ii42', 'iv43', 'ii7', 'ii42', 'IV64', 'I', 'I', 'ii42', 'ii42', 'I7', 'ii7', 'ii42', 'iv', 'I', 'I', 'ii42', 'iv', 'ii65', 'vii7', 'vi', '-ii', 'iii7', 'vii7', 'vii', '-ii', 'I42', 'vi7', 'v', '-v', 'iii42', 'iv', 'ii65', 'IV', 'IV53', 'ii7', 'ii42', 'IV64', 'I', 'I', 'ii42', 'ii42', 'I7', 'ii7', 'ii42', 'IV64', 'I', 'I', 'ii42', 'IV64', 'iv43', 'IV', 'iv']"
1sockhop.mid,sonic1,F major,"['vi42', 'I', 'I', 'i', 'I', 'ii7', 'IV', 'I', 'I53', 'V53', 'V', 'III', 'I', 'I', 'I', 'I', 'I', 'IV', 'IV', 'I', 'I53', 'V', 'V', 'I6', 'I64', 'I53', 'III', 'i', 'iii42', 'IV', 'IV53', 'I53', 'I53', '#v', '#v', '#iv', 'i', 'vi65', 'vi']"
1sorry.mid,sonic1,g minor,"['-', 'v', 'i53', 'i53', 'iv53', 'ii7', 'i53', 'iv7', '-VII53', 'III', 'i7', 'iv7', '-VII7', 'III53', 'i53', 'iv', '-VII', 'III', 'i', 'iv', '-VII53', 'iii42', '-VI', '#vi', 'vi42', 'i', 'i42', 'i6', '-VI', 'v42', 'i', 'iv53', '-VII53', 'III53', 'i53', 'iv', 'vii', 'iii42', '-VI', '#vi', 'vi42', 'i', 'i42', 'i6', '-VI', 'v7', 'i53', 'iv', '-VII53', 'III', 'i53', 'iv', 'v', 'iv', 'i', '#vi', 'iv', 'V7', 'i53', 'i']"
1st Teen Story  Lollipop Love - Today More Than Yesterday.mid,sonic1,d minor,"['i42', '#vi42', 'iv42', 'V', '#iii64', '#vi42', 'I', '#vii64', '#iii64', 'I64', 'i', 'V7', 'i42', '#vi42', '#vi64', '#vii64', 'i42', 'I42', '#vi42', 'I42', 'iii', 'i53', 'iv42', 'iv42', 'V', 'iv43', 'III', 'III64', 'iii']"
1st-Movement-(From-'Eine-Kleine-Nachtmusik').mid,sonic1,G major,"['-', '-', '-', 'i', 'v', 'iv', 'v', 'I53', 'V', 'I53', 'V', 'I6', 'iii', 'IV', 'ii', 'IV', 'I', 'IV53', 'vi42', 'IV', 'I64']"
1st-Movement-Theme-(Pastoral-Symphony).mid,sonic1,F major,"['-', '-', '-', 'I', 'i', 'I53', 'V53', 'IV43', 'V', 'IV43', 'V', 'I6', 'V43', 'vi65', 'V7', 'I6', 'V43', 'vi65', 'iii65', '#iv', 'iv', 'iii', 'v', 'vii42', 'vii42', 'I64', 'i', 'I53', 'iv', 'I', 'i', 'I53', 'i', 'I64', 'i', 'I53', 'ii42', 'I53', 'I53', 'v', 'iii', 'v', 'v7', 'I53', 'ii42', 'I53', 'ii42', 'ii42', 'i', 'I', 'i', 'iv43', 'iv', 'vi65', 'vi', 'i', 'V42', 'i', 'vii42', 'i', 'V53', 'I6', 'I53', 'I6', 'I53', 'I6']"
1stDance.mid,sonic1,g minor,"['#vi', 'i', 'i', 'III', '#vi', 'i', '-VII53', 'i', 'i', 'i', 'i65', 'III', 'i', 'i', 'i65', 'III', 'III53', 'vii7', 'i53', 'III42', 'v', 'i', '-VII53', 'i', 'III53', 'vii7', 'i53', 'III42', 'v', 'i', '-VII53', 'i', 'i', 'i', 'i65', 'III', 'i', 'i', 'i65', 'III', 'III53', 'vii7', 'i53', 'III42', 'v', 'i', '-VII53', 'i', 'III53', 'vii7', 'i53', 'III42', 'v', 'i', '-VII53', 'i', 'i', 'i', 'i65', 'III', 'i', 'i', 'i65', 'III', 'III53', 'vii7', 'i53', 'III42', 'v', 'i', '-VII53', 'i', 'III53', 'vii7', 'i53', 'III42', 'v', 'i', '-VII53', 'i', 'i', 'i', 'i65', 'III', 'i', 'i', 'i65', 'III', 'III53', 'vii7', 'i', 'III42', 'v', 'i', '-VII53', 'i', 'III53', 'vii7', 'i', 'III42', 'v', 'i', '-VII53', 'i', 'i']"
1stjam.mid,sonic1,G major,"['v7', 'v7', 'iii', 'iii65', 'v7', 'vi42', 'vi42', 'v', 'v7', 'iii', 'iii65', 'v', 'V', 'vi42', 'iii', 'v', 'iii42', 'I42', 'I65', 'V', 'V43', 'I', 'IV53', 'vi43', 'V64', 'V6', 'V64', 'I6', 'IV', 'I65', 'V', 'V6', 'V64', 'vi43', 'IV', 'I6', 'V64', 'V6', 'V64', 'I6', 'IV', 'I', 'V64', 'V6', 'V64', 'I', 'ii65', 'I65', 'iii7', 'V6', 'V', 'I6', 'IV53', 'I6', 'V', 'V', 'V', 'I6', 'ii65', 'I6', 'V64', 'V', 'V64', 'I6', 'IV53', 'I6', 'V64', 'V6', 'V64', 'I6', 'IV53', 'I6', 'V43', 'V6', 'V', 'V42', 'IV42', 'ii42', 'vii', 'vii', 'V', 'V', 'iii', 'iii', 'I', 'vi', 'V53', 'IV', 'I64', 'V53', 'V', 'IV42', 'I', 'V6', 'V64', 'IV42', 'I65', 'V6', 'v', 'v', 'i43', 'i43', 'V', 'V', 'i43', 'V53', 'i43', 'V', 'V', 'IV64', 'i7', 'i7', 'vi42', 'v', 'iii7', 'iii7', 'iii7', 'iii7', 'V53', 'V53', 'V53', 'V53', 'I64', 'I64', 'IV53', 'I53', 'V53', 'V53', 'I', 'I65', 'iii43', 'iii43', 'V64', 'IV53', 'I65', 'V6', 'V64', 'vi43', 'IV', 'I', 'V64', 'V6', 'V64', 'IV53', 'I', 'V6', 'V64', 'IV7', 'I', 'V6', 'iii43', 'iii43', 'V42', 'V', 'IV', 'V6', 'V6', 'I', 'iv', 'I', 'V65', 'V65', 'V53', 'V53', 'I53', 'I53', 'iii42', 'V', 'vii42', 'V', 'V', 'V', 'I53', 'IV6']"
1stlover.mid,sonic1,b- minor,"['iv', '##vi', '##vi7', 'i', 'i', 'i', '##vi7', 'i', '#ii42', 'i', 'ii', 'v', 'i', 'i', '##vi42', 'i', 'i', 'i', 'iv', 'ii64', 'i', 'i', 'iv', 'ii64', 'i', 'iv', 'i', '##vi42', 'i', 'iv', 'i', 'i', 'v', 'v', 'i', 'i', 'ii43', 'v', 'i', 'i', 'ii', 'v', '#ii42', 'i', 'ii', 'v', 'i', 'i', 'ii', 'i', '##vi7', 'i', 'i', '#ii43', 'v', 'i', 'i', '##vi42', 'i', 'i', 'i', 'iv', 'ii64', 'i', 'i', 'iv', 'ii53', 'i', 'iv', 'i', '##vi42', 'i', 'iv', 'i', 'i', 'v', 'v', 'i', 'i', '#ii43', 'v', 'i', 'i', '##vi', 'v', 'i', 'i', 'ii', 'v', 'i', 'i', '##vi', 'i', 'i', '#ii42', 'i', 'ii', 'v', 'i', 'i', 'ii42', 'v', 'i', 'i', 'ii43', 'v', 'i', 'i', 'ii43', 'i', 'i', 'iv', '##vi', '##vi7', 'i', 'i', 'i', '##vi7', 'i', 'i']"
1STMOV.MID,sonic1,c# minor,"['i', 'i42', 'iv', 'i', 'i', '-i', 'iv', 'v', 'iii', 'iii', '-V64', 'iii64', 'vii', 'iv', 'vii', '-I', '-iii', '-I', 'v', 'vii43', 'iv', 'i', 'iv', '-iv', 'iv', '-i53', 'i53', '-i64', '-i64', 'i', 'i64', 'iv', 'i', 'iii', 'vi42', 'iv', 'iv', 'iv', 'iv', 'vi7', 'v42', 'i', '-i', 'iv', 'v', 'iii', '-iii', 'III53', 'i53', '-i', 'i', '-II', '-iv', '-II', 'iv', '-iii', '-VI65', 'iv6', '-i', 'i', '-i53', 'i53', 'iv', 'i53', 'iv', 'i', 'i53', 'i53', 'i53']"
1STMVMT.MID,sonic1,c minor,"['iv', 'iv', 'ii7', 'i', 'IV42', 'i', 'ii7', '#i', 'i64', 'i6', 'I', 'i', '-VII', '#vi42', 'ii', 'iii', '#vi', 'i', 'i', 'i', '-VII', '#vi42', '#III', 'v', 'ii65', 'i', 'iv', 'i', '-VII53', 'III64', 'i', 'i', '#v43', 'III42', '#i', '#i', 'III', '#vi43', 'v42', '#vi', 'i', 'VI', 'i43', '#iv', 'iv', 'v7', 'III7', '#i', 'III', '#i', 'i', '-VII43', 'i', 'V53', 'ii65', 'ii65', 'v', '#v42', 'I42', 'vii', 'i', 'IV65', '#iv43', '#vi6', 'ii42', '#vii', 'i', 'IV43', 'II42', '#vii', '#vi42', 'i53', '#vi42', 'i64', 'v42', 'ii7', 'III', 'iii', 'IV7', 'IV', 'IV', '-VII7', 'III', '#v7', 'III53', 'iii65', 'III64', '-VII53', 'III6', 'i', 'i', 'iii43', 'III6', '#v7', 'III53', 'ii', '#vi', 'v43', 'iii', 'i', 'III', '#iv', 'v', '#v42', 'I65', '#i65', '#iv42', 'iii', 'III64', 'i', '#iii', '#v53', 'III53', 'iii', 'III53', 'iii7', 'III53', '#vii', 'IV42', 'ii42', 'III6', 'iii43', 'i', '#v65', 'v', 'V42', 'III', 'iii', 'v7', 'v', 'iii65', 'II42', 'III7', 'III7', 'III64', 'III', 'III', 'iii', 'iii7', 'iv42', '-VII', '-VII53', '-VII53', 'IV', '-VII', 'iii', '-VII', 'iii', 'iii', 'iii', 'v7', 'i', 'II53', 'v', '#vii', 'v', 'v', 'v', 'v', 'v', '#iii65', '#iii65', 'v', '#vi', 'i65', 'ii7', 'i43', 'ii7', '-VII', 'vii', '-VII', 'i43', 'IV42', 'i', '#vi', 'i', 'II65', '#vi42', 'II65', '-VII', 'iii43', '#vii', '-VII6', '-VII53', 'V65', 'V65', 'V65', 'V', 'ii', 'ii7', 'ii7', '#v65', '#III', '#III', '#III', '-VII53', 'iii', 'iii', 'iii', '#iv65', 'II', '#vi42', 'II', 'I6', '#i', '#i', '#i', '#iv7', 'i64', '#iii7', '#vi', 'ii', 'v', 'III7', '#iii42', 'v', '-VII', '#iv', '-VII53', 'v', 'III53', '#vii6', 'III', 'i', 'II7', '#iv', 'i', 'V', 'II7', '#iv', 'i', 'V42', '#i7', 'I', '#i7', 'i', 'i53', 'ii43', 'v', 'v42', 'IV', 'IV42', 'III', '#iii7', 'i', 'i', 'ii7', 'v', '#vii', 'iii', 'i7', '#v42', 'i', 'i', 'ii7', 'v', '#v', 'v', 'v42', 'ii42', 'V', 'iv', '#v65', 'III64', 'i53', 'i42', '#v43', 'III', 'V42', '#i42', 'VI7', '-VII', '#v', '#i42', 'i', 'II42', '#v7', 'I42', 'iv', '#vii64', '#vi43', 'III', 'III', 'II42', 'iv', 'iii', '#v42', '#vi42', 'iv', 'iv', 'v', 'v6', 'iv', 'III', '#i6', 'V43', 'i64', 'ii', 'I65', 'I65', 'ii', 'ii42', '#i42', 'i42', '-VII', '#v', '#iv', '#III', 'i', 'i64', 'i', 'i', 'i64', 'i', 'i', 'v7', 'i65', 'i65', 'i', 'iv', 'i43', 'i', 'iii', 'i7', 'ii', 'ii', 'iii', 'iii', 'ii', 'ii', 'iii7', 'iii7', '#v42', '#v42', 'III7', 'v43', 'I', 'i', 'I7', 'II7', 'i', 'III', 'i', 'iii', 'i64', 'iii', 'IV', '#v', '#v7', 'ii', 'III42', 'iv', 'III42', 'III42', '#iv', 'V7', 'III42', 'III42', '#vi', 'V7', 'i7', 'III', 'i7', 'III', '#i7', 'i', 'i53', 'i53', 'III', 'i', 'v42', 'iv', 'i', 'i53', '-', '-', '-']"
1stnoel.mid,sonic1,B- major,"['V7', 'iv', 'I6', '#iv53', 'iii', 'I6', 'ii42', 'iv', 'I64', 'iv', 'I6', 'vi', 'iii', 'vi', 'vii42', 'iv', 'I6', 'I', 'iii', 'IV53', 'III42', 'vi6', 'I', 'i', 'I', 'i', 'V6', 'IV6', 'v42', 'iii7', 'IV53', 'v', 'I64', 'I53', 'i']"
1stnoel03.mid,sonic1,C major,"['-', 'I', 'v', 'iv', 'I', 'I53', 'V', 'vi53', 'iii53', 'iv', 'I53', 'i43', 'I53', 'i', 'V', 'vi53', 'iii53', 'iv', 'I53', 'V', 'I', 'I53', 'V', 'vi53', 'iii', 'IV53', 'I53', 'V', 'I53', 'i', 'i', 'I', 'V', 'vi', 'iii53', 'IV53', 'i', 'v', 'i', 'vi42', 'i42', 'IV42', 'iii42', 'vii43', 'vi', 'V', 'V53', 'V53', 'II', 'iii', 'vii', 'i', 'V53', 'II53', 'V53', 'V53', 'II', 'iii', 'vii', 'i', 'V', 'II53', 'V53', 'i', 'vii', 'vi', 'V', 'I', 'iii42', 'II65', 'v']"
1stnoel04.mid,sonic1,D major,"['-', 'vi6', 'iv', 'iv', 'I6', 'I53', 'I', 'V53', 'iii53', 'I64', 'I6', 'vii6', 'iv', 'I6', 'vi53', 'v', 'iii', 'I64', 'iii6', 'IV', 'iii', 'I', 'I53', 'i', 'IV', 'I53', 'vi53', 'ii7', 'I64', 'I6', 'I6', 'I53', 'V53', 'I65', 'I53', 'I6', 'vii6', 'iv', 'I53', 'vi53', 'v', 'I6', 'i', 'V', 'ii65', 'iii', 'I', 'I53', 'i', 'IV', 'I64', 'vi6', 'ii', 'iii', 'I6', 'I6', 'I53', 'V64', 'I6', 'I64', 'vi43', 'vii6', 'iv', 'I53', 'vi53', 'v', 'I6', 'i', 'I43', 'IV', 'I', 'I53', 'I', 'i', 'IV', 'iii', 'vi6', 'iv', 'i', 'I6', 'I6', 'I64', 'I64']"
1stnoel3.mid,sonic1,F major,"['IV6', 'iii', 'I64', 'I6', 'vi6', 'V', 'vi64', 'I', 'vi', 'V42', 'I', 'I53', 'ii42', 'V', 'vi64', 'I', 'vi', 'V42', 'iv43', 'iv43', 'vi6', 'iii', 'IV6', 'I64', 'vi', 'iii53', 'iv', 'I53', 'IV64', 'V42', 'vi64', 'I', 'vi', 'V42', 'I', 'I53', 'ii42', 'V', 'vi64', 'I', 'vi', 'V42', 'iv43', 'iv43', 'vi6', 'iii', 'IV6', 'I64', 'vi', 'vi43', 'iv', 'I53']"
1sttime.mid,sonic1,C major,"['iv', 'i', 'iv', 'iv', 'vi65', 'V65', 'IV64', 'vii', 'I53', 'V53', 'II65', 'V53', 'I53', 'v', 'iv7', 'V', 'iv', 'I6', 'iv', 'vi42', 'iv', 'I64', 'I53', 'v7', 'IV65', 'V65', 'I53', 'v7', 'II6', 'iii6', 'iv', 'v', 'iv7', 'V53', 'iv', 'vi42', 'iv7', 'v', 'iv', 'i', 'IV53', 'V', 'iv', 'vi6', 'II53', 'II53', 'iii53', 'VI53', 'v', 'vi', 'v7', 'VI53', 'v53', 'vii42', 'v7', 'ii', 'v', 'v', 'II53']"
1sumdrm.mid,sonic1,a minor,"['-', '-VI6', 'III53', 'III53', '-VII53', '-VII53', 'vi', '-VI53', 'III53', 'III64', '-VI', 'III53', 'III53', '-VII53', '-VII53', 'vi', 'vi', 'III53', 'III53', 'III53', 'III53', 'v53', 'III53', 'i42', 'i64', 'i', 'v53', 'i53', 'i64', 'III53', 'v53', 'III53', 'i42', 'i64', 'i', 'v53', 'i53', 'i64', 'III42', 'I53', 'I53', 'v7', 'v7', 'I53', 'I7', 'v7', 'v7', 'I53', 'I53', 'III53', 'v53', 'III53', 'i42', 'i64', 'i', 'v53', 'i53', 'i64', 'III53', 'v53', 'III53', 'i42', 'i64', 'i', 'v53', 'i53', 'i64', 'i53', 'v53', 'i53', 'i7', 'III42', 'I53', 'I53', 'v7', 'v7', 'I53', 'I53', 'v7', 'v7', 'I53', 'I53', 'v7', 'v7', 'I53', 'I7', 'IV', 'v7', 'I53', 'I53', 'v7', 'v7', 'I53', 'I53', 'v7', 'v7', 'I53', 'I7', 'IV', 'v7', 'I53', 'I53', 'vii7', '-VII53', 'I65', 'I65', 'v65', 'v65', 'I64', 'I65', 'v42', '-VII53', 'I65', 'I65', 'v42', '-VII53', 'I64', 'I65', 'v42', '-VII53', 'I65', 'I65', 'v42', '-VII53', 'I64', 'I65', 'vii7', '-VII53']"
1teso.mid,sonic1,F major,"['vi', 'i', 'vi65', 'I53', 'vi', 'i', 'vi65', 'vi', 'i', 'vi', 'v43', 'v43', 'v43', 'v7', 'vi42', 'i', 'v', 'i', 'iii7', 'ii', 'vii42', 'vii', 'iii7', 'ii', 'vii42', 'vii', 'ii', 'vii42', 'vii', 'vii42', 'vii', 'vii', 'iii7', 'iii7', 'iii53', 'iii7', 'iii7', 'iii53', 'iii7', 'iii53', 'iii7', 'V', 'ii', 'V42', 'iii65', 'iii7', 'iii7', 'iii7', 'iii7', 'iii42', 'iii7', 'iii', 'vii43', 'vii', 'iii', 'V42', 'iii7', 'vii', 'vii', 'ii53', 'iii53', '#iv53', 'vi53', '#i53', '#i53', '#i53', '#i53', 'iii7', 'ii', 'vii42', 'vii', 'iii7', 'ii', 'vii42', 'vii', 'vii', 'i', 'vi65', 'I53', 'vii', 'i', 'vi65', 'vii', 'i', 'vii', '#v43', 'v43', '#iv43', '#ii65']"
1w.MID,sonic1,D major,"['V43', 'IV', 'I53', 'ii43', 'vii42', 'vi65', 'vi7', '#iv', 'i43', 'IV', 'V65', 'iv', 'I53']"
1well.mid,sonic1,c minor,"['v', 'iv7', 'III65', 'iv7', 'III65', 'ii65', 'v53', 'II', 'v', 'iv7', 'III65', 'iv7', 'III65', 'ii65', 'v53', 'II', 'v', 'iv7', 'III65', 'iv7', 'III65', 'ii65', 'v53', 'II', 'v', 'iv7', 'III65', 'iv7', 'III65', 'ii65', 'v53', 'II']"
1wherflow.mid,sonic1,c minor,"['-', '-', 'V53', 'II65', 'iii64', 'vi6', 'II', 'iii42', 'vi7', 'ii43', 'v', 'V', 'vi53', 'ii', 'II', 'iii42', 'vi7', 'ii7', 'vi6', 'iii7', 'ii43', 'v', 'v', 'i', 'vii65', 'iii43', '#i6', 'II65', 'V53', 'vii7', 'vi53', 'ii7', 'vii65', 'V6', '#i6', 'II65', 'vi6', 'vii', 'vi', 'II65', 'V42', 'ii42', 'v42', 'iii42', 'VI53', 'II7', 'v', 'iii', 'vi53', 'II', 'II', 'V64', 'vi7', 'II7', 'vi65', 'iii', 'ii43', 'ii42', 'V53', 'iv', '-VII53', 'v42', 'I43', '#ii43', '-VII53', '-VII6', 'v', '#ii42', '-VII53', 'v43', 'I43', '#ii43', 'v', '-VII6', '#ii42', '#ii43', 'v42', '#ii7', 'v42', 'ii7', 'iv']"
1windbe.mid,sonic1,E- major,"['-', 'i', 'i', 'vi6', 'vi6', 'i', 'i', 'i', 'i', 'iii', 'iii', 'vi43', '#iii', 'iii', 'iii', 'i6', '#iii', '#iii42', '#iii42', 'v', 'V64', '#iii42', '#iii42', 'v', 'V64', 'iii', 'iii', 'vi43', '#iii', 'iii', 'iii', 'i6', '#iii', '#iii42', '#iii42', 'v', 'V64', '#iii42', '#iii42', 'v', 'V64', 'vi64', 'i6', 'I53', 'vii', 'vi53', 'i6', 'I53', 'V6', 'vi53', 'i6', 'I53', 'V6', 'vi', 'I64', 'I', 'i', 'i', 'i', 'iii', 'iii', 'vi43', '#iii', 'iii', 'iii', 'i6', '#iii', 'ii', '#iii42', 'v', 'V64', 'ii', '#iii42', 'v', 'V64', 'vi64', 'i6', 'I53', 'vii', 'vi53', 'i6', 'I53', 'V6', 'vi53', 'i6', 'I53', 'V6', 'vi', 'I64', 'I53', 'I64', 'ii', 'vi64', 'v', 'i', 'vi64', 'iii']"
1WINDOWO.MID,sonic1,d minor,"['-', '-', '-', 'I53', 'IV', 'I53', 'iii43', 'vi53', 'I53', 'I6', 'iii43', 'vi53', 'I53', 'ii53', 'V', 'ii7', 'I6', 'IV53', 'V53', 'I53', 'IV', 'I53', 'V6', 'I53', 'IV', 'I53', 'iii43', 'vi', 'III65', 'i', 'II6', 'I6', 'IV64', 'I53', 'IV', 'I53', 'iii43', 'vi53', 'I53', 'I6', 'iii43', 'vi53', 'I53', 'ii53', 'V', 'ii7', 'I6', 'IV53', 'V53', 'I53', 'IV', 'I53', 'V6', 'I53', 'IV', 'I53', 'iii43', 'vi', 'III65', 'i', 'II6', 'I6', 'IV64', 'I53', 'IV', 'I53', 'V6', 'I53', 'IV', 'I53', 'I65', 'vi53', 'III6', 'iii', '#v', 'vi', 'vii', 'I53', 'VI53', 'II', 'II53', 'V', 'II53', 'VI6', 'II53', 'V', 'II53', '#iv43', 'vii', '#i42', 'ii', 'III6', 'II6', 'V64', 'II53', 'V', 'II53', 'VI6', 'II53', 'V', 'II53', 'VI6', 'II53', 'V', 'II53', 'VI6', 'II53', 'V', 'II53', 'VI6', 'II53', 'V', 'II53', 'VI6', 'II53', 'V', 'II53', 'VI6', 'II53', 'V', 'II53', 'VI6']"
1wipeout2.mid,sonic1,C major,"['-', '-', '-', '-', '-', 'i42', 'i42', 'I6', 'I6', 'I6', 'I6', 'IV53', 'IV53', 'I6', 'I6', 'V64', 'IV64', 'I6', 'v', 'I53', '-', 'I', '-', 'IV53', '-', 'I53', '-', 'vii', 'IV53', 'I53', 'V', 'I64', 'I6', 'I64', 'I6', 'IV', 'IV53', 'I6', 'I6', 'V53', 'IV53', 'I6', 'v', 'I53', '-', 'I53', 'iv', 'IV53', '-', 'I6', 'v', 'V53', 'IV53', 'I53', 'v', 'I53', 'I6', 'I53', 'iii', 'iv', 'iv', 'I6', 'I6', 'V53', 'IV53', 'I6', 'V7', 'I53', '-', 'i', 'iv', 'IV53', '-', 'I6', 'v', 'V53', 'IV6', 'I53', 'V53', 'I6', 'I6', 'I6', 'I6', 'IV53', 'IV53', 'I6', 'I6', 'V53', 'IV53', 'I6', 'V', 'I6', 'I6', 'I6', 'I6', 'IV53', 'IV53', 'I6', 'I6', 'V53', 'IV53', 'I6', 'v', 'I64', '-', 'I53']"
