midi_name,game_name,key_signature,harmonic_reduction
070527 (Oh for a Poet).MID,sonic1,C major,"['-', 'I6', 'V42', 'I6', 'vii6', 'I6', 'I53', 'v43', 'I64', 'vii65', 'i', 'I53', 'V65', 'I53', 'V7', 'I64', 'I53', 'V65', 'V', 'I53', 'V', 'i', 'vii', 'ii7', 'i', 'i', 'IV53', 'V7', 'ii53', 'I6', 'IV53', 'I53', 'vii53', 'V7', 'V7', 'vi65', 'i', 'I53', 'v43', 'I64', 'vii65', 'i', 'I53', 'V65', 'I53', 'V7', 'I64', 'I53', 'V65', 'V', 'I53', 'V', 'i', 'vii', 'ii7', 'i', 'i', 'IV53', 'V7', 'ii53', 'I6', 'IV53', 'I53', 'vii53', 'V7', 'V7', 'vi65', 'i']"
070606 (Hail the Comic Song).MID,sonic1,C major,"['-', '-', '-', '-', 'vii42', 'vii43', 'iii53', 'vii42', 'vii53', 'I64', 'vii', 'vi', 'ii', 'vii53', 'I64', 'vii', 'vi', 'V7', 'I', 'IV43', 'I53', 'V42', 'IV', 'I53', 'II42', 'V7', 'I53', 'I53', 'V7', 'I64', 'V43', 'I53', 'V43', 'I64', 'vi', 'I53', 'vii42', 'vii65', 'I64', 'vii', 'vi', 'IV', 'vii53', 'I64', 'vii', 'vi', 'V7', 'I', 'IV43', 'I53', 'V42', 'IV', 'I53', 'II42', 'V7', 'I53', 'I53', 'V7', 'I64', 'V43', 'I53', 'V43', 'I64', 'vi', 'I53']"
09carnivalcuckoo.mid,sonic1,c# minor,"['i', '-i6', 'i', '-i53', '-iii', 'iii', 'i53', '-i6', 'i', '-i6', 'i', '-i6', '-iii', 'iii', 'i53', '-i6', '-iii', '-I6', '-iii', '-i', '-I6', '-I6', '-I6', '-I6', '-I6', '-I6', '-I6', '-I6', '-I6', 'III53', 'III53', '-I6', '-I', 'III53', 'iii53', '-i', 'iii53', '-i', '-i', '-i', '-i', '-i', 'III53']"
"1,000MoreFools.mid",sonic1,C major,"['i', 'ii', 'i', 'iv', 'v', 'v', 'v', 'v', 'vi', 'i', 'v', 'iv', 'vi', 'i', 'v', 'iv', 'vi7', 'v', 'vi', 'v', 'vi7', 'v', 'vi', 'vii', 'vii', 'i', 'ii', 'i', 'iv', 'v', 'v', 'v', 'v', 'vi', 'i', 'v', 'iv', 'vi', 'i', 'v', 'iv', 'vi7', 'v', 'vi', 'v', 'vi7', 'v', 'vi', 'vii', 'vii', 'i', 'ii', 'i', 'iv', 'v', 'v', 'v', 'v', 'vi']"
1-01-Prelude-Xg.mid,sonic1,C major,"['-', 'I', 'I', 'vi64', 'vi', 'I53', 'I', 'vi64', 'vi', 'IV', 'IV', 'V', 'V', '-III', 'i', '-VII65', '-VII7', 'I53', 'ii42', 'vi6', 'vi53', 'I6', 'I', 'vi53', 'vi53', 'IV53', 'iv', 'v', 'v', 'iv', 'iv', 'v6', 'v6', 'I53', 'i', 'vi6', 'vi53', 'I53', 'i', 'vi', 'vi53', 'IV6', 'v42', 'V53', 'v', 'iv', 'iv', 'v6', 'v6', 'I6', 'I6', 'iv', 'i', 'i']"
1-01_Prelude_Awe.mid,sonic1,C major,"['I', 'I', 'vi64', 'vi', 'I53', 'I', 'vi64', 'vi', 'IV', 'IV', 'V', 'V', '-III', 'i', '-VII65', '-VII7', 'I53', 'ii42', 'vi6', 'vi53', 'I6', 'I', 'vi53', 'vi53', 'IV53', 'iv', 'v', 'v', 'iv', 'iv', 'v6', 'v64', 'I53', 'i', 'vi6', 'vi53', 'I53', 'i', 'vi', 'vi53', 'IV6', 'v42', 'V53', 'v', 'iv', 'iv', 'v6', 'v6', 'I6', 'I6', 'iv', 'i', 'i']"
1-02-Opening-Xg.mid,sonic1,a minor,"['-', 'v', 'v', 'v', 'v', 'v', '-v', 'i', '-v', 'i', 'v', 'v', 'v42', 'v42', 'ii', 'ii', 'ii', 'v', 'V64', 'V64', 'V64', 'V64', '-vi', '-vi', 'i6', 'i6', 'i6', 'i6', 'i6', 'i6', 'i6', 'i6', 'i', 'V65', 'i', 'iv', 'i', 'iv43', 'i53', 'i', 'i', '#vii', 'ii53', 'ii42', '-V', 'vii64', '#iii', 'vii', '-V42', 'vii', 'vii43', 'vii', 'iv', 'iv42', 'ii', '-II', 'iv', 'i7', '-VI', 'iv', 'i', 'i', 'i', 'i', '-VI', '-VI', 'iv64', 'iv64', 'iv', 'ii', 'iv', 'ii', 'iv', 'v42', 'iv', 'iv', '-VI', '-VI', 'iv64', 'iv64', 'vii', 'vii', 'i', 'iv43', 'iv', 'vii', 'i7', 'iv64', 'vii', 'vii', 'i', 'iv43', '#vii', '-ii42', 'v', 'iv64', 'iv', 'ii', 'iv', 'ii', 'iv', 'iv', 'iv', 'iv', 'i', 'i', 'i', 'i', 'i', 'i', '-ii42', 'i', 'i', 'V65', 'i', 'V65']"
1-04-Anxious-Heart-Xg.mid,sonic1,c minor,"['-', 'iv', 'ii', 'iv', 'ii', 'i6', 'I6', 'i64', 'i', 'i', 'iv', 'ii', 'iv', 'ii', 'iv', 'ii53', 'iv', 'ii53', 'i64', 'I53', 'i6', 'I64', 'I64', 'iv', '#vi', 'iv', '#i7', 'iv', '#vi', 'iv', 'iii', 'iv', 'iii']"
1-05-Tifas-Theme-Xg.mid,sonic1,F major,"['-', 'i', 'i', 'I53', 'I53', 'i', 'i', 'I53', 'I53', 'I64', 'iv', 'I64', 'I64', 'I64', 'iv', 'I53', 'v53', 'v53', 'iii65', 'i', 'I53', 'i', 'I53', 'iii53', 'vi64', 'ii53', 'ii', 'V53', 'I53', 'I53', '-VII53', 'vi53', 'II53', 'II64', 'iii65', 'iv', 'I64', 'I53', 'I53', 'iii53', 'vi64', 'ii', 'ii53', 'v', 'iii', 'I64', '-VII53', 'vi53', 'II', 'II53']"
1-06_Baretts_Theme_Awe.mid,sonic1,F major,"['I', 'I53', 'I', 'I53', 'I', 'I53', 'I53', 'I53', 'I', 'I53', 'I', 'I53', 'IV', 'iv', 'IV53', 'IV53', 'I', 'I53', 'I', 'I53', 'v', 'vii', 'ii', 'ii', 'i', '#ii65', '#ii65', '#iii53', 'VII', 'V42']"
